S1 EP01 IN
S1 EP01：こっちだ　早く　|　在这边 快点
S1 EP02：で　表向きは黄都と無関係な連中なら使っていいんだよな　|　那 表面上与黄都没关系的人就可以用了吧
S1 EP02：何を使うつもりだ　|　你打算用谁
S1 EP02：暗殺と言っても静かにやる必要はない　|　虽说是暗杀 但也没必要静悄悄的
S1 EP02：大事故に巻き込まれて　死ぬことだってある　|　被卷进大型事故中死亡也行
S1 EP02：大事故？　|　大型事故？
S1 EP02：濫回凌轢を釈放できるか　|　你能释放滥回凌轹吗
S1 EP02：お疲れのようですね　閣下　|　您似乎很累 阁下
S1 EP02：ピケくんか　|　皮克吗
S1 EP02：少しお眠りになっていたようで　|　您似乎小睡了一会
S1 EP02：行軍に20日もかかっている　|　行军已经20天了
S1 EP02：どこぞの救貧院に宿営までした　|　甚至还在某处的救济院扎过营
S1 EP02：誰でも負担は大きかろう　|　任谁都会疲劳
S1 EP02：追い立ての面々は　|　驱赶行动情况如何
S1 EP02：ラヂオ兵を３群に分けて　配置に就けております　|　将通信兵分成三组 已经部署好了
S1 EP02：常時２人が峡谷の上で巡回　|　会有两人一直在峡谷上方巡逻
S1 EP02：うち１人が受信手です　|　其中一人接收讯息
S1 EP02：なら　明日から３人の昼夜半日交代だ　|　那从明天起 三人一组日夜换班
S1 EP02：かしこまりました　|　遵命
S1 EP02：ですが　燻べは本当に手負いなのでしょうか　|　可是 熏灼真的受伤了吗
S1 EP02：裏付けを取った上での遠征だ　|　我们是确定这点后才远征的
S1 EP02：普段は空を舞っているヤツも　今は巣に籠もっている　|　平时飞舞于空中的家伙 现在正窝在巢里
S1 EP02：好機だ　|　是个好机会
S1 EP02：ティリート峡の悪夢　燻べのヴィケオン　|　提利特峡谷的噩梦 熏灼维凯翁
S1 EP02：その討伐が成れば　歴史に我が名が刻まれる　|　如果讨伐能够成功 我将名垂青史
S1 EP02：これは城攻めに等しい　|　这次讨伐相当于攻城
S1 EP02：必ず飢えて飛び立つ時が来る　|　他一定会因饥饿飞出来
S1 EP02：そこを狙う　|　抓住这个机会
S1 EP02：情報が本当であるなら　ですが…　|　如果情报属实 但…
S1 EP02：何　|　什么
S1 EP02：閣下　射手６名が攻撃を受けたと　|　阁下 据说有六名枪手遭受攻击
S1 EP02：なんだと　|　你说什么
S1 EP02：通信を直接ここへ　|　把通信接过来
S1 EP02：はっ　|　是
S1 EP02：ハルゲントだ　状況を報告しろ　|　我是哈鲁甘特 报告状况
S1 EP02：崖下の射手６名は安否不明　|　悬崖下的六名枪手生死不明
S1 EP02：おそらく　燻べは…　|　恐怕 熏灼他…
S1 EP02：地上を這って　閣下の本陣へ進んでいます　|　正在地上爬行前往阁下的大本营
S1 EP02：地上をだと？　|　在地上？
S1 EP02：あの傲岸なヴィケオンが？　|　那个傲慢的维凯翁？
S1 EP02：閣下　撤退を　|　阁下 请撤退
S1 EP02：こんな間違いがあるか　|　我怎会犯下这种错误
S1 EP02：閣下　|　阁下
S1 EP02：迷う時ではありません　|　没有时间犹豫了
S1 EP02：ヤツは今この本陣に　|　那家伙现在正朝这里
S1 EP02：なんで…　|　为什么…
S1 EP02：ピケよりハルゲントへ　|　皮克致哈鲁甘特
S1 EP02：傾きの陽　飛べ　|　西斜之阳 飞翔
S1 EP02：何を　|　干什么
S1 EP02：貴様が　将だな　|　你就是将领吧
S1 EP02：燻べ　貴様　|　熏灼 你这家伙
S1 EP02：答えることを許す　|　准许你回答
S1 EP02：貴様らの他に討伐の群れはいるか　|　除了你们还有讨伐队吗
S1 EP02：人の討ち手を恐れるか　燻べのヴィケオン　|　你害怕人类的讨伐吗 熏灼维凯恩
S1 EP02：その魂は地に落ちたぞ　|　你的灵魂已经堕落了
S1 EP02：答えろ　|　回答我
S1 EP02：討伐軍は貴様らだけか　|　讨伐队只有你们吗
S1 EP02：答えぬならば　|　若不回答
S1 EP02：焼かず　|　不烧死你
S1 EP02：苦しめ　|　而是折磨你
S1 EP02：殺す　|　然后杀死
S1 EP02：何が　貴様の身に起こった　燻べ　|　你的身上发生了什么 熏灼
S1 EP02：私に卑劣と屈辱を与えながら　|　你给予我卑劣与屈辱
S1 EP02：自らの屈辱は隠し立てする気か　|　自己的屈辱却要隐瞒吗
S1 EP02：英雄　|　英雄
S1 EP02：英雄をその目に見たことがあるか　弱き人間よ　|　你可曾目睹英雄 弱小的人类啊
S1 EP02：何　|　什么
S1 EP02：膨大なる群れから現れし強者を　|　庞大群体中出现的强者
S1 EP02：貴様らは英雄と呼ぶのだろう　|　你们称其为英雄对吧
S1 EP02：まさか　|　难道
S1 EP02：人間の英雄が貴様を討ったとでも　|　你是被人类的英雄所伤
S1 EP02：おごるな　|　别自大了
S1 EP02：人間の英雄など飽くほどほふったわ　|　人类的英雄我都杀腻了
S1 EP02：何者も愚かな餌にすぎぬ　|　每个都只是愚蠢的饵料
S1 EP02：真実を知れ人間よ　|　倾听真相吧人类
S1 EP02：運命に愛された英雄は　|　受命运眷顾的英雄
S1 EP02：鳥竜の中にもあることを　|　在鸟龙中也是存在的
S1 EP02：あいつが？　|　是那家伙？
S1 EP02：我が屈辱は答えたぞ　|　我已告知自身的屈辱
S1 EP02：次は貴様が答える番だ　|　接下来轮到你回答了
S1 EP02：討伐隊は私で最後だ　|　我就是最后的讨伐队
S1 EP02：私のあとに黄都の兵は来るまい　|　在我之后不会有黄都的士兵来
S1 EP02：よかろう　|　很好
S1 EP02：ならば貴様の命を火にくべ　人間の愚行を許す　|　那就将你的生命燃于烈火 饶恕人类的愚行吧
S1 EP02：ハルゲントより黄都の鉄へ　|　哈鲁甘特致黄都之铁
S1 EP02：寄せる波間　影の塔　巡る星天　|　聚拢波浪 影之塔 巡游星天
S1 EP02：番えろ　|　上弦
S1 EP02：我が頭上の空はすべて静寂となる　|　我头顶的天空都将陷入寂静
S1 EP02：黄都　第六将の力を知れ　|　见识黄都第六将的实力吧
S1 EP02：無力だ　すべて無力だ　|　无力 完全无力
S1 EP02：ティリートより…　|　提利特致…
S1 EP02：なぜ　|　为何
S1 EP02：また来る　|　又来了
S1 EP02：なぜだ　|　为何
S1 EP02：星馳せ　|　星驰
S1 EP02：彼には生まれつき　３本もの前肢があった　|　他生来便有三只前肢
S1 EP02：腕は新たなる何かを欲した　|　手臂渴望着新的事物
S1 EP02：その腕にまだ見ぬ物をつかみ取りたい　|　那些手臂想要抓住未曾见过之物
S1 EP02：ただの鳥竜ではないことを証明したい　|　想要证明他不是一只普通的鸟龙
S1 EP02：彼は身の丈に合わぬすべてを欲した　|　他渴望着超出自身的一切
S1 EP02：その欲望は　いつしか　|　这份欲望驱使着他
S1 EP02：１つの街の宝を得た　|　获取了一座城市的财宝
S1 EP02：１つの土地を征した　|　征服了一片土地
S1 EP02：１つの迷宮を攻略した　|　攻略了一座迷宫
S1 EP02：そして　|　然后
S1 EP02：今や１つの伝説を滅ぼさんとしていた　|　现在正要毁灭一个传说
S1 EP02：星馳せアルス　|　星驰阿鲁斯
S1 EP02：これ以上の何を欲する　|　你还想要什么
S1 EP02：我が財宝のすべてを奪ったはずだ　|　你已尽数夺走我的财宝
S1 EP02：これ以上　なぜ奪う　|　为何还要掠夺
S1 EP02：なぜ？　|　为何？
S1 EP02：俺は当然のことをしてるだけだよ　|　我只是在做理所当然的事罢了
S1 EP02：星馳せ　|　星驰
S1 EP02：貴様は…貴様は手を出すな　|　你…你这家伙不准出手
S1 EP02：おのれ　星馳せ　|　可恶 星驰
S1 EP02：ティリートの風へ　けぶれる月を涸らせ　|　致提利特之风 朦胧之月 干涸
S1 EP02：西の断崖　魔天樹塔の毒の魔弾　|　西之断崖 魔天树塔的毒之魔弹
S1 EP02：神経から先にはじけるんだよ　|　会先从神经开始爆裂
S1 EP02：ティリートの風へ　|　致提利特之风
S1 EP02：アルスよりニミの礫へ　|　阿鲁斯致尼米之砾
S1 EP02：花は蕾に　殻を分けて割け　滴る水　|　化花为蕾 裂壳而出 滴水
S1 EP02：貫け　|　贯穿
S1 EP02：形状変形の工術を　|　改变形状的工术
S1 EP02：一呼吸のブレスよりもはるかに速く　|　居然远快于一次吐息
S1 EP02：ふざけるな　|　开什么玩笑
S1 EP02：あいつは　あれは私の敵だ　|　那家伙 那是我的对手
S1 EP02：なぜ奪う　私を助けているつもりか　|　为何要夺走 难道是想帮我吗
S1 EP02：おかしなことを聞くね　|　奇怪的问题
S1 EP02：友達を助けるのなんて　当たり前だろ　|　帮助朋友 不是理所当然的吗
S1 EP02：わ…　|　我…
S1 EP02：私は貴様の友ではない　|　我不是你的朋友
S1 EP02：今の私は黄都の将だ　|　我现在是黄都的将领
S1 EP02：鳥竜殺しの　羽毟りのハルゲントだ　|　鸟龙杀手 拔翼哈鲁甘特
S1 EP02：そっか　|　是吗
S1 EP02：成り上がるために　|　为了名扬天下
S1 EP02：貴様の同族だって　何百と殺してやった　|　就连你的同族 我也杀了几百只
S1 EP02：この年になっても　まだ栄光が欲しくて　|　就算到了这个年纪 还渴求着荣耀
S1 EP02：こんなまねをしているんだ　|　才会做这种事
S1 EP02：だから俺は　ハルゲントを尊敬してるんだよ　|　所以我 一直尊敬着哈鲁甘特啊
S1 EP02：聞いたよ　黄都で上覧試合があるって　|　我听说了 在黄都要召开御前比试
S1 EP02：みんな勇者を担ぎ出そうとしてる　|　大家要选出一位勇者
S1 EP02：俺が出たっていい　|　我也可以参加
S1 EP02：それに前みたいに…　|　就像之前那样…
S1 EP02：ティリートの風へ　|　致提利特之风
S1 EP02：けぶれる月を　|　朦胧之月
S1 EP02：涸らせ　|　干涸
S1 EP02：アルス　よ…　|　阿鲁斯 躲…
S1 EP02：これは…　|　这是…
S1 EP02：死者の巨盾　|　死者的巨盾
S1 EP02：星馳せ　|　星驰
S1 EP02：もう１つ　|　另一个
S1 EP02：ティリー…　|　提利…
S1 EP02：ヒレンジンゲンの光の魔剣　|　希连金根的光之魔剑
S1 EP02：出会った頃は腕を動かすことすらできなかったのに　|　刚遇到他时手臂都还无法活动
S1 EP02：お前は…　|　你…
S1 EP02：黄都二十九官が勇者を探している　|　黄都二十九官正在寻找勇者
S1 EP02：この世界で最強の者を集めようとしている　|　准备把这世上的最强者聚到一起
S1 EP02：強さを誇るのならば　貴様も名乗りを上げるべきだ　|　若是自认强大 你也该去参加
S1 EP02：だが　|　但是
S1 EP02：私は貴様を選ばない　|　我不会选择你
S1 EP02：私は…　|　我…
S1 EP02：私は決して貴様の力で　栄光をつかむことはしない　|　我绝不会借助你的力量获得荣耀
S1 EP02：その欲望が本当にまぶしいよ　|　这份欲望真是耀眼啊
S1 EP02：ハルゲントはいつか　|　哈鲁甘特总有一天
S1 EP02：俺よりずっと　すごいヤツになる　|　会成为远比我厉害的人
S1 EP02：どこに行くつもりだ　|　你要去哪
S1 EP02：ナガン大迷宮　|　纳甘大迷宫
S1 EP02：滅んだ都市だ　何をする　|　那已经毁灭了 去干什么
S1 EP02：欲しい物があるんだ　|　那有我想要的东西
S1 EP02：アルス…　|　阿鲁斯…
S1 EP02：それは異常の適性をもって　地上全種の武器を取り扱うことができる　|　他拥有异常的适应能力 能够操纵世上所有的武器
S1 EP02：それはこの地平のすべてよりかき集めた　異能の魔具の数々を有している　|　他拥有收集自这片大地的 各种异能魔具
S1 EP02：それは広い世界の無数の迷宮と敵に挑み　そのすべてに勝利している　|　他挑战了广阔世界的无数迷宫与敌人 并且全数获胜
